time_bucket,pickup_zone_name,trip_count,mean_pickups_per_nominal_hour
evening_peak,Midtown East,446902,306.0972602739726
evening_peak,Midtown North,354302,242.67260273972602
evening_peak,Midtown South,260795,178.62671232876713
evening_peak,Midwood,1952,1.336986301369863
evening_peak,Morningside Heights,77039,52.766438356164386
evening_peak,Morrisania/Melrose,1724,1.180821917808219
evening_peak,Mott Haven/Port Morris,6837,4.682876712328767
evening_peak,Mount Hope,1930,1.321917808219178
evening_peak,Murray Hill,347283,237.8650684931507
evening_peak,Murray Hill-Queens,512,0.3506849315068493
evening_peak,New Dorp/Midland Beach,30,0.02054794520547945
evening_peak,Newark Airport,1999,1.3691780821917807
evening_peak,North Corona,1194,0.8178082191780822
evening_peak,Norwood,1486,1.0178082191780822
evening_peak,Oakland Gardens,300,0.2054794520547945
evening_peak,Oakwood,9,0.0061643835616438354
evening_peak,Ocean Hill,4617,3.1623287671232876
evening_peak,Ocean Parkway South,555,0.3801369863013699
evening_peak,Old Astoria,6473,4.433561643835616
evening_peak,Outside of NYC,4592,3.1452054794520548
evening_peak,Ozone Park,1014,0.6945205479452055
evening_peak,Park Slope,11491,7.870547945205479
evening_peak,Parkchester,1274,0.8726027397260274
evening_peak,Pelham Bay,442,0.30273972602739724
evening_peak,Pelham Bay Park,177,0.12123287671232877
evening_peak,Pelham Parkway,957,0.6554794520547945
evening_peak,Penn Station/Madison Sq West,345276,236.4904109589041
evening_peak,Port Richmond,6,0.00410958904109589
evening_peak,Prospect Heights,4567,3.128082191780822
evening_peak,Prospect Park,1185,0.8116438356164384
evening_peak,Prospect-Lefferts Gardens,9065,6.208904109589041
evening_peak,Queens Village,1344,0.9205479452054794
evening_peak,Queensboro Hill,518,0.3547945205479452
evening_peak,Queensbridge/Ravenswood,6866,4.7027397260273975
evening_peak,Randalls Island,588,0.40273972602739727
evening_peak,Red Hook,3143,2.1527397260273973
evening_peak,Rego Park,3103,2.1253424657534246
evening_peak,Richmond Hill,5235,3.585616438356164
evening_peak,Ridgewood,3348,2.293150684931507
