forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 09:00:00,JFK Airport,10,102.5,126.76986381560246
2026-04-01,2026-04-01 09:00:00,Midtown Center,10,206.55769230769232,178.9281551617995
2026-04-01,2026-04-01 09:00:00,Upper East Side North,10,373.88461538461536,333.10593306201633
2026-04-01,2026-04-01 09:00:00,Penn Station/Madison Sq West,10,272.21153846153845,264.904622030833
2026-04-01,2026-04-01 09:00:00,Midtown East,10,224.71153846153845,189.89231367253007
2026-04-01,2026-04-01 09:00:00,Times Sq/Theatre District,10,143.71153846153845,149.71044694809206
2026-04-01,2026-04-01 09:00:00,Lincoln Square East,10,170.44230769230768,171.77462879459233
2026-04-01,2026-04-01 09:00:00,LaGuardia Airport,10,171.76923076923077,103.13868775609954
2026-04-01,2026-04-01 09:00:00,Murray Hill,10,196.69230769230768,187.83646602088928
2026-04-01,2026-04-01 10:00:00,Upper East Side South,11,336.5,299.64346098022355
2026-04-01,2026-04-01 10:00:00,JFK Airport,11,120.92307692307692,129.20697467161355
2026-04-01,2026-04-01 10:00:00,Midtown Center,11,238.92307692307693,199.42291524267267
2026-04-01,2026-04-01 10:00:00,Upper East Side North,11,353.1923076923077,318.55203447159136
2026-04-01,2026-04-01 10:00:00,Penn Station/Madison Sq West,11,248.51923076923077,237.21414170970607
2026-04-01,2026-04-01 10:00:00,Midtown East,11,213.21153846153845,192.66379651539745
2026-04-01,2026-04-01 10:00:00,Times Sq/Theatre District,11,155.69230769230768,153.20116187408098
2026-04-01,2026-04-01 10:00:00,Lincoln Square East,11,183.28846153846155,177.57672650776172
2026-04-01,2026-04-01 10:00:00,LaGuardia Airport,11,210.19230769230768,114.0001151716369
2026-04-01,2026-04-01 10:00:00,Murray Hill,11,194.65384615384616,185.0733138006045
2026-04-01,2026-04-01 11:00:00,Upper East Side South,12,381.4807692307692,317.8133131937659
2026-04-01,2026-04-01 11:00:00,JFK Airport,12,135.98076923076923,137.819400983137
2026-04-01,2026-04-01 11:00:00,Midtown Center,12,291.03846153846155,255.38521027642906
2026-04-01,2026-04-01 11:00:00,Upper East Side North,12,368.2307692307692,311.23455462709245
2026-04-01,2026-04-01 11:00:00,Penn Station/Madison Sq West,12,240.65384615384616,244.2299312886852
2026-04-01,2026-04-01 11:00:00,Midtown East,12,219.01923076923077,207.4107939489318
2026-04-01,2026-04-01 11:00:00,Times Sq/Theatre District,12,167.03846153846155,161.12111359845846
2026-04-01,2026-04-01 11:00:00,Lincoln Square East,12,183.8653846153846,186.8770254365661
